feature,importance
"format_Vinyl, LP, White Label",0.00010928781575562132
"style_Techno, Deep House, Minimal",0.00010837909338901279
"style_Tribal, Techno, Industrial",0.00010818803622948775
"style_Deep House, Techno, Bleep",0.00010817497339083478
"format_Vinyl, 12"", White Label, 33 ⅓ RPM, EP",0.0001070967868168376
"style_Techno, House, Acid, Minimal",0.00010691322019901215
"format_Vinyl, 12"", 33 ⅓ RPM, EP, Reissue, Test Pressing, White Label",0.00010543644565448465
"format_Vinyl, 12"", 33 ⅓ RPM, EP, Promo, Test Pressing, White Label",0.00010384999773489102
"style_Techno, Downtempo, Acid",0.00010374947135154688
"format_Vinyl, 12"", Unofficial Release, White Label, Single Sided, 45 RPM",0.0001033580817962088
"format_Vinyl, 12"", Mispress",0.00010209213512832353
"style_Trance, Techno, Drum n Bass",0.00010180106029937996
"style_Techno, Makina, Catalan Music",0.00010160116338090534
"style_IDM, House, Techno",9.919887291729098e-05
"format_Vinyl, 12"", Album, Limited Edition, 33 ⅓ RPM",9.828459658975424e-05
"style_Techno, Hard Trance, Lento Violento",9.824934774273096e-05
"style_Acid House, Industrial, Techno",9.776172111145641e-05
"style_Techno, House, IDM, Ambient, Electro, Downtempo",9.702799933461279e-05
"format_Vinyl, 12"", Promo, White Label, 33 ⅓ RPM",9.68681253578346e-05
"format_Vinyl, 12"", 33 ⅓ RPM, Compilation, Promo",9.67999482651291e-05
"format_Vinyl, 12"", 33 ⅓ RPM, 45 RPM, Promo, Test Pressing",9.67042441151339e-05
"style_Hardcore, Techno, House",9.65138791401634e-05
"style_Breakbeat, Techno, Bleep",9.506046085047665e-05
"style_Techno, Hardcore, IDM",9.490873606989035e-05
country_Iceland,9.487777850308851e-05
country_Philippines,9.478212122337476e-05
"style_Techno, Tribal, Trance, Tech House",9.450437912734355e-05
"style_Techno, Minimal, Experimental",9.343150696995361e-05
"style_Glitch, Abstract, Techno, Electro",9.27461798454735e-05
"format_Vinyl, 12"", 45 RPM, EP, Limited Edition, White Label",9.264412962367322e-05
"format_Vinyl, 12"", Promo, 33 ⅓ RPM",9.229561470054402e-05
"style_Acid House, Techno, House, Hard House",9.217242416118869e-05
"style_Hardcore, Doomcore, Techno",9.096605188983645e-05
"format_Vinyl, 33 ⅓ RPM, 12"", Promo, White Label",9.094582021427736e-05
"style_Techno, House, Garage House",9.047754509532281e-05
"style_Techno, Experimental, Minimal",9.012251590908801e-05
"style_EBM, Techno, Synth-pop, Minimal",8.987715053204864e-05
"style_Abstract, Techno, Experimental, Minimal",8.961853661172487e-05
"style_Techno, Electro, Synth-pop",8.888844317122855e-05
country_Czech Republic,8.872031803485316e-05
"style_Progressive House, Europop, Trance, Techno, Synth-pop",8.865685366535574e-05
"format_Vinyl, White Label, Limited Edition, 12""",8.847875296829845e-05
"style_Abstract, Techno, Tech House",8.759060242349106e-05
"style_House, Bass Music, Techno",8.712172438647106e-05
"genre_Electronic, Rock, Latin, Pop",8.704305219060412e-05
style_Hard Techno,8.675346701793153e-05
"format_Vinyl, LP, Album, CD, Album",8.669893793955006e-05
"format_Vinyl, 12"", 33 ⅓ RPM, EP, Picture Disc, Reissue",8.621463912560254e-05
"style_Techno, Experimental, Acid, Freetekno",8.592545218598198e-05
"style_Techno, House, Ambient",8.43872862083455e-05
"style_Techno, Acid, Minimal",8.428879641169346e-05
style_Hyper Techno,8.421838674497861e-05
"format_Vinyl, 12"", 45 RPM, EP, Promo, White Label",8.413835706175137e-05
"style_Progressive House, Tech House, House, Techno",8.396530352058638e-05
"style_Techno, Ghetto House",8.321549852490257e-05
"style_Techno, House, Electro",8.310405529803507e-05
"format_Vinyl, 12"", Single Sided, Promo, Etched",8.291005351158678e-05
"style_Techno, Ambient",8.271091813196279e-05
"format_Vinyl, 12"", Single Sided, 45 RPM",8.21635026200492e-05
"style_Trance, Hard Trance, Techno",8.161742258919659e-05
"style_Techno, IDM, Acid",8.148461598199343e-05
